Test Start Time: Sat Sep 23 18:40:39 2023
-----------------------------------------
Testcase                                           Result     Exit Value
cgroup_fj_stress_hugetlb_1_200_none                PASS       0    
cgroup_fj_stress_hugetlb_200_1_none                PASS       0    
cgroup_fj_stress_hugetlb_2_2_one                   PASS       0    
cgroup_fj_stress_hugetlb_3_3_one                   PASS       0    
cgroup_fj_stress_hugetlb_4_4_one                   PASS       0    
cgroup_fj_stress_hugetlb_2_9_one                   PASS       0    
cgroup_fj_stress_hugetlb_10_3_one                  PASS       0    
cgroup_fj_stress_hugetlb_1_200_one                 PASS       0    
cgroup_fj_stress_hugetlb_200_1_one                 PASS       0    
cgroup_fj_stress_hugetlb_2_2_each                  PASS       0    
cgroup_fj_stress_hugetlb_3_3_each                  PASS       0    
cgroup_fj_stress_hugetlb_4_4_each                  PASS       0    
cgroup_fj_stress_hugetlb_2_9_each                  PASS       0    
cgroup_fj_stress_hugetlb_10_3_each                 PASS       0    
cgroup_fj_stress_hugetlb_1_200_each                PASS       0    
cgroup_fj_stress_hugetlb_200_1_each                PASS       0    
controllers                                        PASS       0    
cpuacct_1_1                                        PASS       0    
cpuacct_1_10                                       PASS       0    
cpuacct_10_10                                      PASS       0    
cpuacct_1_100                                      PASS       0    
cpuacct_100_1                                      PASS       0    
cpuacct_100_100                                    PASS       0    
cpuset_base_ops                                    CONF       32   
cpuset_inherit                                     PASS       0    
cpuset_exclusive                                   CONF       32   
cpuset_hierarchy                                   CONF       32   
cpuset_syscall                                     CONF       32   
cpuset_sched_domains                               CONF       32   
cpuset_load_balance                                CONF       32   
cpuset_hotplug                                     PASS       0    
cpuset_memory                                      CONF       32   
cpuset_memory_pressure                             CONF       32   
cpuset_memory_spread                               CONF       32   
cpuset_regression_test                             PASS       0    
cgroup_xattr                                       PASS       0    
io_control01                                       CONF       32   
pids_1_1                                           PASS       0    
pids_1_2                                           PASS       0    
pids_1_10                                          PASS       0    
pids_1_50                                          PASS       0    
pids_1_100                                         PASS       0    
pids_2_1                                           PASS       0    
pids_2_2                                           PASS       0    
pids_2_10                                          PASS       0    
pids_2_50                                          PASS       0    
pids_2_100                                         PASS       0    
pids_3_0                                           PASS       0    
pids_3_1                                           PASS       0    
pids_3_10                                          PASS       0    
pids_3_50                                          PASS       0    
pids_3_100                                         PASS       0    
pids_4_1                                           PASS       0    
pids_4_2                                           PASS       0    
pids_4_10                                          PASS       0    
pids_4_50                                          PASS       0    
pids_4_100                                         PASS       0    
pids_5_1                                           PASS       0    
pids_6_1                                           PASS       0    
pids_6_2                                           PASS       0    
pids_6_10                                          PASS       0    
pids_6_50                                          PASS       0    
pids_6_100                                         PASS       0    
pids_7_10                                          PASS       0    
pids_7_50                                          PASS       0    
pids_7_100                                         PASS       0    
pids_7_500                                         PASS       0    
pids_7_1000                                        PASS       0    
pids_8_2                                           PASS       0    
pids_8_10                                          PASS       0    
pids_8_50                                          PASS       0    
pids_8_100                                         PASS       0    
pids_9_2                                           PASS       0    
pids_9_10                                          PASS       0    
pids_9_50                                          PASS       0    
pids_9_100                                         PASS       0    

-----------------------------------------------
Total Tests: 347
Total Skipped Tests: 36
Total Failures: 1
Kernel Version: 5.10.0-153.12.0.92.os2203sp2.x86_64
Machine Architecture: x86_64
Hostname: contest-vm-045

